ESEMBLID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
gene1	0.18150811	1.0	0.19875081	0.64636433	0.46991628	0.8621056	0.9287441	0.5962489	0.04259545	0.46668252	0.5806793	0.0	0.8737834	0.46971905	0.18571168	0.054566115	0.052415695	0.14169744	0.35379753	0.059521683
gene2	0.8514355	0.0	0.9450508	0.06445732	0.4292582	0.43794757	0.35073203	0.1430245	0.5867866	0.5569258	0.74198174	0.87097275	1.0	0.33043796	0.8548406	0.5700601	0.7505017	0.8635254	0.34370255	0.69860905
gene3	0.15631688	0.6413234	0.5361435	0.36381486	0.3776117	0.33799028	0.0	0.19596691	1.0	0.9699387	0.52851546	0.7113549	0.38684708	0.7691924	0.17846943	0.6212372	0.73595434	0.43343762	0.7968931	0.7093025
gene4	0.33497572	0.7039878	0.0	0.61103606	0.9131958	0.8245485	0.1223158	0.065527484	0.4288659	0.7179306	1.0	0.19301131	0.1806295	0.043770004	0.58219236	0.27606934	0.6473638	0.110344134	0.07805498	0.9087082
gene5	0.5599592	0.20623036	1.0	0.41793585	0.36025786	0.24525507	0.34429225	0.0	0.8306958	0.55135345	0.55533224	0.49756432	0.2655187	0.12720263	0.5464001	0.36697587	0.58400935	0.52487594	0.25449663	0.8666574
gene6	0.0	0.5917994	0.14920828	0.5156225	0.29979056	0.5042303	0.17479396	0.10841732	0.2658422	0.3910156	0.7707453	0.8770889	0.46465543	0.59639555	0.4095326	1.0	0.3305755	0.13338082	0.38155347	0.9040377
gene7	1.0	0.31963167	0.7488641	0.37070274	0.7952752	0.43567523	0.045056324	0.34973967	0.66522723	0.318567	0.41611087	0.97877276	0.27251095	0.036684718	0.596425	0.31395048	0.16583493	0.549751	0.0	0.06566979
gene8	0.5630062	0.26065722	1.0	0.3911988	0.56474495	0.20673747	0.0	0.25793284	0.50942504	0.47416148	0.36762178	0.54487723	0.13652451	0.25214526	0.6691017	0.46989322	0.3619465	0.5006186	0.37395978	0.3718752
gene9	0.39037132	0.16197376	0.28961757	0.0	0.2251793	0.08877047	0.2718136	0.385906	0.66520804	0.43602595	0.7387044	0.50424343	0.24551004	0.20674144	0.45637277	0.69995004	0.79185647	1.0	0.45796865	0.85538596
gene10	0.18266615	0.50695366	0.1227598	0.09021165	0.7021925	0.8090717	0.0	0.5759923	0.673809	0.47154373	0.968349	0.8683989	0.021518761	0.5366114	1.0	0.7638948	0.77090037	0.86577195	0.6082972	0.967254
gene11	0.15972742	0.55706185	0.13371311	0.8763781	1.0	0.88767415	0.40444672	0.45622453	0.047425	0.21900313	0.6868952	0.2198846	0.36871842	0.6514738	0.7072247	0.25720397	0.15118045	0.0	0.14512049	0.048860595
gene12	1.0	0.051728636	0.79497766	0.7130905	0.56596106	0.6482879	0.38153833	0.3142916	0.3715121	0.0	0.21493958	0.23398985	0.18888417	0.09967618	0.6523816	0.22863194	0.67683184	0.061672922	0.49731135	0.055506848
gene13	0.16467264	0.38740596	0.0060663237	0.11902791	0.0	0.39013645	0.21225648	0.2501458	0.3371816	0.6359272	0.56199104	0.30316254	0.36224282	0.25494745	0.336931	0.7160832	0.6966724	0.83563316	0.5858317	1.0
gene14	0.7081624	0.0	1.0	0.25662515	0.5564004	0.04859646	0.3977784	0.14252065	0.5621278	0.4668167	0.05604558	0.12667862	0.13372055	0.053439945	0.3048374	0.53559905	0.56161034	0.6600543	0.5409551	0.36865118
gene15	0.6509728	0.8325224	1.0	0.3427533	0.83161014	0.5556523	0.2399109	0.42639697	0.30411527	0.8569216	0.23308735	0.17251593	0.22185156	0.0	0.27836096	0.72325236	0.39850172	0.51717144	0.4932103	0.61001194
gene16	0.21356362	0.99262667	0.3592079	0.47153154	0.78988844	0.45660287	0.85850483	1.0	0.50145733	0.44900805	0.0	0.2686389	0.1707516	0.8008809	0.8937098	0.03976992	0.11814379	0.16308792	0.6591617	0.09215383
gene17	1.0	0.5747297	0.44665527	0.7944043	0.61775535	0.3433378	0.5918949	0.5829365	0.11465184	0.28905976	0.26466992	0.21473347	0.8088322	0.41291443	0.2780528	0.08087344	0.27103224	0.0	0.0845861	0.058747
gene18	0.16904598	1.0	0.0	0.6029397	0.57804847	0.47150162	0.6004028	0.6380495	0.3717112	0.41502157	0.37965035	0.23967345	0.6663886	0.9391437	0.19806194	0.08920305	0.08602878	0.20384508	0.20870645	0.23056121
gene19	0.4986526	0.46348727	0.7072381	0.1595579	0.35527375	0.14102839	0.38153258	0.40158668	0.23563378	0.059729993	0.32260254	0.6310015	0.39059627	0.5652878	0.5040115	0.46592408	1.0	0.116133034	0.0	0.7425657
gene20	0.46963143	0.9489317	0.21313637	1.0	0.7122655	0.5040649	0.22959003	0.58727944	0.25853997	0.35513625	0.6825615	0.7620737	0.5482877	0.28641263	0.73549056	0.22291796	0.12515067	0.0	0.36291414	0.49778444
gene21	0.0	0.7208762	0.12619093	0.75350183	0.56264085	0.64359254	0.24467918	0.16241588	0.34034202	0.9880125	0.75086594	0.34663892	0.055903293	0.13690433	1.0	0.6781852	0.14345866	0.7514877	0.042126436	0.780403
gene22	0.96108884	0.0	1.0	0.32217348	0.46371716	0.28574863	0.47012624	0.29162514	0.737997	0.634126	0.60130936	0.50820065	0.25518203	0.45942256	0.5838715	0.20562063	0.5639847	0.35749015	0.4058383	0.5788408
gene23	0.34909388	0.14108934	0.17124408	0.05551371	0.02749737	0.21516433	0.300624	0.0	0.56578034	0.5909692	0.66649634	0.31559667	0.3070901	0.25126824	0.25000772	0.69832635	0.89871377	1.0	0.4427798	0.918156
